name,value,units,active,classification,justification,what_does_not_justify_it,uncertainty_status
nkcc_activation.stimulated_calcium_uM,0.1,uM,True,inherited_effective_setting,Inherited algebraic capacity modulation. Its 0.10 uM saturation endpoint is distinct from the NBC 0.25 uM endpoint; at the production input both are fully recruited.,An accepted physiological point does not identify this setting or supply a numerical uncertainty interval. No knockout fit or new measurement is performed in this audit.,genuinely_unknown_for_physiological_transfer
protocol.arm,CCH_IPR,configuration,True,protocol_setting,"Declared experimental-input representation, including a step waveform; this is not evidence for measured intracellular calcium kinetics.",An accepted physiological point does not identify this setting or supply a numerical uncertainty interval. No knockout fit or new measurement is performed in this audit.,genuinely_unknown_for_physiological_transfer
protocol.onset_s,0.0,s,True,protocol_setting,"Declared experimental-input representation, including a step waveform; this is not evidence for measured intracellular calcium kinetics.",An accepted physiological point does not identify this setting or supply a numerical uncertainty interval. No knockout fit or new measurement is performed in this audit.,genuinely_unknown_for_physiological_transfer
protocol.duration_s,600.0,s,True,protocol_setting,"Declared experimental-input representation, including a step waveform; this is not evidence for measured intracellular calcium kinetics.",An accepted physiological point does not identify this setting or supply a numerical uncertainty interval. No knockout fit or new measurement is performed in this audit.,genuinely_unknown_for_physiological_transfer
protocol.cch_dose_uM,0.3,uM,False,protocol_setting,Nominal experiment dose labels retained for provenance. The selected model has no dose response map from these fields to calcium or beta activation.,An accepted physiological point does not identify this setting or supply a numerical uncertainty interval. No knockout fit or new measurement is performed in this audit.,genuinely_unknown_for_physiological_transfer
protocol.ipr_dose_uM,5.0,uM,False,protocol_setting,Nominal experiment dose labels retained for provenance. The selected model has no dose response map from these fields to calcium or beta activation.,An accepted physiological point does not identify this setting or supply a numerical uncertainty interval. No knockout fit or new measurement is performed in this audit.,genuinely_unknown_for_physiological_transfer
protocol.resting_calcium_uM,0.058,uM,True,protocol_setting,"Declared experimental-input representation, including a step waveform; this is not evidence for measured intracellular calcium kinetics.",An accepted physiological point does not identify this setting or supply a numerical uncertainty interval. No knockout fit or new measurement is performed in this audit.,genuinely_unknown_for_physiological_transfer
protocol.stimulated_calcium_uM,0.25,uM,True,protocol_setting,"Declared experimental-input representation, including a step waveform; this is not evidence for measured intracellular calcium kinetics.",An accepted physiological point does not identify this setting or supply a numerical uncertainty interval. No knockout fit or new measurement is performed in this audit.,genuinely_unknown_for_physiological_transfer
protocol.beta_occupancy_on,1.0,dimensionless fraction,True,protocol_setting,"Declared experimental-input representation, including a step waveform; this is not evidence for measured intracellular calcium kinetics.",An accepted physiological point does not identify this setting or supply a numerical uncertainty interval. No knockout fit or new measurement is performed in this audit.,genuinely_unknown_for_physiological_transfer
nkcc.law,palk_benjamin_2010_eq17,model identifier,True,law_selection,Explicit Palk/Benjamin law selected by the Task 39 builder and inherited by Task 40.,An accepted physiological point does not identify this setting or supply a numerical uncertainty interval. No knockout fit or new measurement is performed in this audit.,not_a_measured_uncertainty_parameter
nkcc_activation.family,N1_CCH_ALGEBRAIC,model identifier,True,law_selection,Selected instantaneous calcium recruitment family; no added NKCC dynamic state.,An accepted physiological point does not identify this setting or supply a numerical uncertainty interval. No knockout fit or new measurement is performed in this audit.,not_a_measured_uncertainty_parameter
frozen_initial.na_i_fmol,16.720358732745492,fmol,True,WT_constraint_derived,"Solved, accepted WT resting state used as the shared initial condition for production genotype trajectories; not the constructor seed and not an independent measurement.",An accepted physiological point does not identify this setting or supply a numerical uncertainty interval. No knockout fit or new measurement is performed in this audit.,conditional_root_value_no_experimental_interval
frozen_initial.k_i_fmol,170.0020085218768,fmol,True,WT_constraint_derived,"Solved, accepted WT resting state used as the shared initial condition for production genotype trajectories; not the constructor seed and not an independent measurement.",An accepted physiological point does not identify this setting or supply a numerical uncertainty interval. No knockout fit or new measurement is performed in this audit.,conditional_root_value_no_experimental_interval
frozen_initial.cl_i_fmol,88.0318019635695,fmol,True,WT_constraint_derived,"Solved, accepted WT resting state used as the shared initial condition for production genotype trajectories; not the constructor seed and not an independent measurement.",An accepted physiological point does not identify this setting or supply a numerical uncertainty interval. No knockout fit or new measurement is performed in this audit.,conditional_root_value_no_experimental_interval
frozen_initial.tic_i_fmol,8.263511808402752,fmol,True,WT_constraint_derived,"Solved, accepted WT resting state used as the shared initial condition for production genotype trajectories; not the constructor seed and not an independent measurement.",An accepted physiological point does not identify this setting or supply a numerical uncertainty interval. No knockout fit or new measurement is performed in this audit.,conditional_root_value_no_experimental_interval
frozen_initial.alk_i_fmol,20.628803085107954,fmol,True,WT_constraint_derived,"Solved, accepted WT resting state used as the shared initial condition for production genotype trajectories; not the constructor seed and not an independent measurement.",An accepted physiological point does not identify this setting or supply a numerical uncertainty interval. No knockout fit or new measurement is performed in this audit.,conditional_root_value_no_experimental_interval
frozen_initial.volume_i_pL,1.4533343925874602,pL,True,WT_constraint_derived,"Solved, accepted WT resting state used as the shared initial condition for production genotype trajectories; not the constructor seed and not an independent measurement.",An accepted physiological point does not identify this setting or supply a numerical uncertainty interval. No knockout fit or new measurement is performed in this audit.,conditional_root_value_no_experimental_interval
frozen_initial.na_l_fmol,13.127768668225414,fmol,True,WT_constraint_derived,"Solved, accepted WT resting state used as the shared initial condition for production genotype trajectories; not the constructor seed and not an independent measurement.",An accepted physiological point does not identify this setting or supply a numerical uncertainty interval. No knockout fit or new measurement is performed in this audit.,conditional_root_value_no_experimental_interval
frozen_initial.k_l_fmol,2.7189726089909274,fmol,True,WT_constraint_derived,"Solved, accepted WT resting state used as the shared initial condition for production genotype trajectories; not the constructor seed and not an independent measurement.",An accepted physiological point does not identify this setting or supply a numerical uncertainty interval. No knockout fit or new measurement is performed in this audit.,conditional_root_value_no_experimental_interval
frozen_initial.cl_l_fmol,15.378687854537976,fmol,True,WT_constraint_derived,"Solved, accepted WT resting state used as the shared initial condition for production genotype trajectories; not the constructor seed and not an independent measurement.",An accepted physiological point does not identify this setting or supply a numerical uncertainty interval. No knockout fit or new measurement is performed in this audit.,conditional_root_value_no_experimental_interval
frozen_initial.tic_l_fmol,0.5402623164056106,fmol,True,WT_constraint_derived,"Solved, accepted WT resting state used as the shared initial condition for production genotype trajectories; not the constructor seed and not an independent measurement.",An accepted physiological point does not identify this setting or supply a numerical uncertainty interval. No knockout fit or new measurement is performed in this audit.,conditional_root_value_no_experimental_interval
frozen_initial.alk_l_fmol,0.4680534226783657,fmol,True,WT_constraint_derived,"Solved, accepted WT resting state used as the shared initial condition for production genotype trajectories; not the constructor seed and not an independent measurement.",An accepted physiological point does not identify this setting or supply a numerical uncertainty interval. No knockout fit or new measurement is performed in this audit.,conditional_root_value_no_experimental_interval
frozen_initial.volume_l_pL,0.10538840735368742,pL,True,WT_constraint_derived,"Solved, accepted WT resting state used as the shared initial condition for production genotype trajectories; not the constructor seed and not an independent measurement.",An accepted physiological point does not identify this setting or supply a numerical uncertainty interval. No knockout fit or new measurement is performed in this audit.,conditional_root_value_no_experimental_interval
frozen_initial.ae4_effective_activation_fraction,0.0,dimensionless,True,WT_constraint_derived,"Solved, accepted WT resting state used as the shared initial condition for production genotype trajectories; not the constructor seed and not an independent measurement.",An accepted physiological point does not identify this setting or supply a numerical uncertainty interval. No knockout fit or new measurement is performed in this audit.,conditional_root_value_no_experimental_interval
protocol.ae4_expression_cases,"[1.0, 0.05, 0.0]",dimensionless expression scales,True,protocol_setting,"Predeclared WT, 5 percent and null interventions; only the AE4 expression field differs. These are protocol conditions, not estimated abundance uncertainty.",An accepted physiological point does not identify this setting or supply a numerical uncertainty interval. No knockout fit or new measurement is performed in this audit.,genuinely_unknown_for_physiological_transfer
