id,category,criterion,evidence_required,failure_condition,frozen_at_utc,pre_reveal_status,final_status
H11,apical_fractions,"Apical pump/K fractions are labelled unmeasured unless quantified; conserve total capacity; and have exact baseline nesting limits.","Primary-source ledger; parameter registry; nesting tests.","Fraction is mislabeled measured; capacity changes silently; or nesting fails.",2026-08-27T20:29:45Z,BLOCKED,NOT_EVALUATED
H12,root_geometry,"WT roots use deterministic multistart across the declared physiological domain; all admissible/remote branches are reported; selection rule is predeclared.","Root table; starts; bounds; clustering; branch rule.","Convenient local root only; ignored remote root; or post-reveal branch change.",2026-08-27T20:29:45Z,BLOCKED,NOT_EVALUATED
H13,solver_robustness,"Decisive trajectories reproduce with two independent stiff solvers; tolerance sweeps; and nearby initial states.","Solver crosscheck table and trajectory differences.","Result depends materially on solver; tolerances; or initial condition.",2026-08-27T20:29:45Z,BLOCKED,NOT_EVALUATED
H14,bound_compensation,"Accepted mechanisms do not depend on arbitrary fitted bounds; profiles distinguish supported constraints from compensation.","Parameter-bound distances; profiles; covariance/perturbation tests.","Gate passes only at an arbitrary bound or via undisclosed correlation.",2026-08-27T20:29:45Z,BLOCKED,NOT_EVALUATED
H15,topology_rank,"Added modules have source directions capable of correcting the documented residual; fitting does not hide wrong/rank-deficient topology.","Source-matrix rank; residual-direction projection; nested topology tests.","Correction is solely compensatory in an incapable or rank-deficient direction.",2026-08-27T20:29:45Z,BLOCKED,NOT_EVALUATED
H16,genotype_deletion,"AE4 deletion removes every AE4 transport/regulatory contribution and leaves unrelated parameters/inputs unchanged.","Symbolic dependency scan; zero-activity equivalence test; manifest diff.","AE4 term remains or another pathway is genotype-retuned.",2026-08-27T20:29:45Z,BLOCKED,NOT_EVALUATED
H17,ae2_validation,"AE2 deletion remains independent validation and does not acquire an unsupported large secretion role.","AE2 genotype simulation; evidence comparison; calibration dependency scan.","AE2 is compensatory fit freedom or predicts unsupported large output effect.",2026-08-27T20:29:45Z,BLOCKED,NOT_EVALUATED
H18,simpler_nesting,"Every retained complexity increment differs falsifiably from its simpler exact nested model on allowed WT/transporter evidence.","Exact nesting tests; WT model comparison; decision log.","Simpler model passes equally and complex mechanism is called required/identified.",2026-08-27T20:29:45Z,BLOCKED,NOT_EVALUATED
H19,uncertainty_robustness,"Qualitative conclusions persist over source-supported uncertainty including apical fractions; weak kinetics; and initial luminal states.","Uncertainty ensemble/profile and classification stability.","Conclusion reverses within allowed uncertainty without disclosure.",2026-08-27T20:29:45Z,BLOCKED,NOT_EVALUATED
H20,historical_discipline,"Claims about 2018 remain scoped to the inherited historical-lineage implementation/tested domain; chassis failure is not used to judge AE4 biology.","Report-wide language scan and source ledger.","Claims say/imply paper wrong; globally invalid; or AE4 insufficient.",2026-08-27T20:29:45Z,PASS,NOT_EVALUATED
H21,time_firewall,"Physical time map; calcium/beta inputs; and horizon are fixed from WT/independent evidence before knockout reveal.","Dynamic calibration inputs; frozen manifest; reveal log.","Timing or stimulus feature is inferred from held-out knockout curve.",2026-08-27T20:29:45Z,BLOCKED,NOT_EVALUATED
H22,wt_denominator,"Valid WT resting and physically timed stimulated trajectories exist before normalized KO/WT secretion is interpreted.","WT gate report; root table; time ledger; execution chronology.","Normalized ratio masks invalid WT; failed gate; or uncertified time axis.",2026-08-27T20:29:45Z,BLOCKED,NOT_EVALUATED
H23,unmeasured_coordinates,"Unmeasured luminal states; lumen volume/outflow; and apical fractions are profiled rather than silently fixed for genotype behavior.","Parameter provenance; sensitivity/profile runs.","An unmeasured coordinate controls result but is fixed without provenance/sensitivity.",2026-08-27T20:29:45Z,BLOCKED,NOT_EVALUATED
H24,provenance_claims,"Every equation/final mechanistic claim distinguishes measurement; derived constraint; numerical result; historical record; and new assumption.","Equation registry; provenance docs; claim audit.","Model decision is presented as measured or numerical fit as mechanism identification.",2026-08-27T20:29:45Z,BLOCKED,NOT_EVALUATED
