record_id,kind,name,code_location,default_or_example,meaning,units,conversion_or_equation,dimensional_status,numerical_certification,provenance,acceptance_note
P034,parameter,membranes.g_cl_apical_S,parameters.MembraneParameters,6e-10,total whole-cell apical Ca-activated Cl conductance,S=A V^-1,"I=G*(V-E)",DIMENSIONALLY_CERTIFIED,uncalibrated absolute lump,NEW_MODELING_DECISION,area absorbed; do not insert current density directly
P035,parameter,membranes.calcium_half_uM,parameters.MembraneParameters,0.30,effective Ca gate half-activation,uM,"gate=Ca^n/(Ca^n+K^n)",DIMENSIONALLY_CERTIFIED,test value not WT estimate,NEW_MODELING_DECISION,Ca input and K must share uM
P036,parameter,membranes.calcium_hill,parameters.MembraneParameters,2.0,effective Ca gate exponent,dimensionless,,EXACT_DIMENSION,uncalibrated shape,NEW_MODELING_DECISION,not a binding-site count
P037,parameter,membranes.g_para_na_S,parameters.MembraneParameters,3e-10,whole-cell paracellular sodium conductance,S=A V^-1,"I=G*(V_t-E_Na)",DIMENSIONALLY_CERTIFIED,historical-lineage value not frozen,PUBLISHED_MODEL,area absorbed
P038,parameter,membranes.g_para_k_S,parameters.MembraneParameters,5e-11,whole-cell paracellular potassium conductance,S=A V^-1,"I=G*(V_t-E_K)",DIMENSIONALLY_CERTIFIED,historical-lineage value not frozen,PUBLISHED_MODEL,area absorbed
P039,parameter,membranes.g_para_cl_S,parameters.MembraneParameters,2.5e-10,whole-cell paracellular chloride conductance,S=A V^-1,"I=G*(V_t-E_Cl)",DIMENSIONALLY_CERTIFIED,uncalibrated charge-completion term,NEW_MODELING_DECISION,area absorbed
P040,parameter,membranes.g_para_hco3_S,parameters.MembraneParameters,5e-11,whole-cell paracellular bicarbonate conductance,S=A V^-1,"I=G*(V_t-E_HCO3)",DIMENSIONALLY_CERTIFIED,uncalibrated charge-completion term,NEW_MODELING_DECISION,area absorbed
P041,parameter,membranes.g_apical_background_S,parameters.MembraneParameters,0.0,apical K-selective background conductance,S=A V^-1,"I=G*(V-E_K)",DIMENSIONALLY_CERTIFIED,zero nesting control,NEW_MODELING_DECISION,retain zero unless independently required
P042,parameter,membranes.g_basolateral_background_S,parameters.MembraneParameters,5e-12,basolateral K-selective numerical regularizer,S=A V^-1,"I=G*(V-E_K)",DIMENSIONALLY_CERTIFIED,uncertified regularizer,NEW_MODELING_DECISION,must not control accepted root or phenotype
P043,parameter,water.apical_hydraulic_pL_s_mOsm,parameters.WaterParameters,0.00432,whole-cell apical osmotic water coefficient,pL s^-1 (mOsm L^-1)^-1,"P_a=4.32e-12 L^2 mol^-1 s^-1; multiply by 1e-3 mol L^-1 per mM and 1e12 pL per L; q_a=L_a*(osm_lumen-osm_cell)",SOURCE_UNIT_CONVERSION_CERTIFIED,published-model lineage; native transfer not independently remeasured,PUBLISHED_MODEL,"Palk 2010 via 2018; area/geometry folded into q=P*delta_osm; ideal-particle 1 mM=1 mOsm/L numerically"
P044,parameter,water.basolateral_hydraulic_pL_s_mOsm,parameters.WaterParameters,0.0515,whole-cell basolateral osmotic water coefficient,pL s^-1 (mOsm L^-1)^-1,"P_b=5.15e-11 L^2 mol^-1 s^-1; multiply by 1e-3 mol L^-1 per mM and 1e12 pL per L; q_b=L_b*(osm_cell-osm_bath)",SOURCE_UNIT_CONVERSION_CERTIFIED,published-model lineage; native transfer not independently remeasured,PUBLISHED_MODEL,"Palk 2010 via 2018; area/geometry folded into q=P*delta_osm; ideal-particle 1 mM=1 mOsm/L numerically"
P045,parameter,water.paracellular_hydraulic_pL_s_mOsm,parameters.WaterParameters,0.00026,whole-cell paracellular osmotic water coefficient,pL s^-1 (mOsm L^-1)^-1,"P_t=2.60e-13 L^2 mol^-1 s^-1; multiply by 1e-3 mol L^-1 per mM and 1e12 pL per L; q_t=L_t*(osm_lumen-osm_bath)",SOURCE_UNIT_CONVERSION_CERTIFIED,published-model lineage; native transfer not independently remeasured,PUBLISHED_MODEL,"Palk 2010 via 2018; area/geometry folded into q=P*delta_osm; ideal-particle 1 mM=1 mOsm/L numerically"
P046,parameter,water.lumen_dead_volume_pL,parameters.WaterParameters,0.10,non-draining local lumen volume,pL,"q_out=k_out*max(V_l-V_dead,0)",DIMENSIONALLY_CERTIFIED,uncalibrated local geometry,NEW_MODELING_DECISION,not gland volume
P047,parameter,water.outflow_rate_s,parameters.WaterParameters,0.20,local compliance/outflow rate constant,s^-1,"q_out=k_out*max(V_l-V_dead,0)",DIMENSIONALLY_CERTIFIED,uncalibrated closure,NEW_MODELING_DECISION,must not be fit to AE4-null secretion
P048,parameter,initial.cell_na_mM,parameters.InitialConditions,15.0,reference intracellular sodium,mM,,DIMENSIONALLY_CERTIFIED,uncalibrated starting value,NEW_MODELING_DECISION,not an accepted WT target
P049,parameter,initial.cell_k_mM,parameters.InitialConditions,140.0,reference intracellular potassium,mM,,DIMENSIONALLY_CERTIFIED,uncalibrated starting value,NEW_MODELING_DECISION,not an accepted WT target
P050,parameter,initial.cell_cl_mM,parameters.InitialConditions,40.0,reference intracellular chloride,mM,,DIMENSIONALLY_CERTIFIED,uncalibrated starting value,NEW_MODELING_DECISION,not an accepted WT target
P051,parameter,initial.cell_tic_mM,parameters.InitialConditions,20.0,reference intracellular total inorganic carbon,mM,,DIMENSIONALLY_CERTIFIED,unmeasured starting value,NEW_MODELING_DECISION,decision-critical acid-base uncertainty
P052,parameter,initial.cell_ph,parameters.InitialConditions,7.20,reference intracellular pH,dimensionless p-scale,,DIMENSIONALLY_CERTIFIED,uncalibrated starting value,NEW_MODELING_DECISION,not itself a solved WT root
P053,parameter,initial.cell_volume_pL,parameters.InitialConditions,1.0,reference single-cell volume,pL,,DIMENSIONALLY_CERTIFIED,geometry audit pending,NEW_MODELING_DECISION,whole-cell scaling depends on it
P054,parameter,initial.lumen_na_mM,parameters.InitialConditions,145.0,reference local-lumen sodium,mM,,DIMENSIONALLY_CERTIFIED,uncalibrated starting value,NEW_MODELING_DECISION,not a measured lumen target
P055,parameter,initial.lumen_k_mM,parameters.InitialConditions,5.0,reference local-lumen potassium,mM,,DIMENSIONALLY_CERTIFIED,uncalibrated starting value,NEW_MODELING_DECISION,not a measured lumen target
P056,parameter,initial.lumen_cl_mM,parameters.InitialConditions,126.16159279650835,reference local-lumen chloride,mM,"Na+K-TA for reference electroneutrality",DIMENSIONALLY_CERTIFIED,derived from placeholder reference,DERIVED_CONSTRAINT,rederive after lumen state is frozen
P057,parameter,initial.lumen_tic_mM,parameters.InitialConditions,25.0,reference local-lumen total inorganic carbon,mM,,DIMENSIONALLY_CERTIFIED,uncalibrated starting value,NEW_MODELING_DECISION,not a measured lumen target
P058,parameter,initial.lumen_ph,parameters.InitialConditions,7.40,reference local-lumen pH,dimensionless p-scale,,DIMENSIONALLY_CERTIFIED,uncalibrated starting value,NEW_MODELING_DECISION,not a measured lumen target
P059,parameter,initial.lumen_volume_pL,parameters.InitialConditions,0.10,reference finite local-lumen volume,pL,,DIMENSIONALLY_CERTIFIED,geometry audit pending,NEW_MODELING_DECISION,not gland or duct volume
P060,parameter,AE4Parameters.carrier_amount_fmol,transporters.AE4Parameters,no scientific default,total AE4 carrier amount represented by the module,fmol carrier,"active carrier=carrier_amount*regulation_gain*expression",DIMENSIONALLY_CERTIFIED,uncertified absolute amount,NEW_MODELING_DECISION,test-fixture values are not calibration
P061,parameter,AE4Parameters.common_cl_attempt_rate_s,transporters.AE4Parameters,no scientific default,common chloride-edge attempt rate per carrier,s^-1,"k_forward/reverse=k_attempt*exp(+/-logratio/2)",DIMENSIONALLY_CERTIFIED,uncertified kinetic rate,NEW_MODELING_DECISION,cannot license QSS or physiological time without independent bound
P062,parameter,AE4Parameters.na_loaded_attempt_rate_s,transporters.AE4Parameters,no scientific default,sodium-branch attempt rate per carrier,s^-1,"k_forward/reverse=k_attempt*exp(+/-logratio/2)",DIMENSIONALLY_CERTIFIED,uncertified kinetic rate,NEW_MODELING_DECISION,pure-cation assay does not fix mixed-bath rate
P063,parameter,AE4Parameters.k_loaded_attempt_rate_s,transporters.AE4Parameters,no scientific default,potassium-branch attempt rate per carrier,s^-1,"k_forward/reverse=k_attempt*exp(+/-logratio/2)",DIMENSIONALLY_CERTIFIED,uncertified kinetic rate,NEW_MODELING_DECISION,pure-cation assay does not fix mixed-bath rate
P064,parameter,AE4FastCooperativeGate.ec50_na_mM,transporters.AE4FastCooperativeGate,49.0 in declared 2016 sensitivity,apparent sodium concentration scale,mM,"gate=1/(1+(EC50/c)^hill)",DIMENSIONALLY_CERTIFIED,source-context shape only,PRIMARY_MEASUREMENT,heterologous low-Cl dose fit not native kinetic constant
P065,parameter,AE4FastCooperativeGate.ec50_k_mM,transporters.AE4FastCooperativeGate,62.0 in declared 2016 sensitivity,apparent potassium concentration scale,mM,"gate=1/(1+(EC50/c)^hill)",DIMENSIONALLY_CERTIFIED,source-context shape only,PRIMARY_MEASUREMENT,heterologous Na-free dose fit not native kinetic constant
P066,parameter,AE4FastCooperativeGate.hill_na,transporters.AE4FastCooperativeGate,2.0 in declared 2016 sensitivity,apparent sodium Hill exponent,dimensionless,,EXACT_DIMENSION,source-context fit summary,PRIMARY_MEASUREMENT,not transported-ion count
P067,parameter,AE4FastCooperativeGate.hill_k,transporters.AE4FastCooperativeGate,1.8 in declared 2016 sensitivity,apparent potassium Hill exponent,dimensionless,,EXACT_DIMENSION,source-context fit summary,PRIMARY_MEASUREMENT,not transported-ion count
P068,parameter,AE4FastCooperativeGate.floor_na,transporters.AE4FastCooperativeGate,0.0,sodium-branch gate floor,dimensionless fraction,,EXACT_DIMENSION,unmeasured modeling value,NEW_MODELING_DECISION,2016 assay Rmin must not be used as this floor
P069,parameter,AE4FastCooperativeGate.floor_k,transporters.AE4FastCooperativeGate,0.0,potassium-branch gate floor,dimensionless fraction,,EXACT_DIMENSION,unmeasured modeling value,NEW_MODELING_DECISION,2016 assay Rmin must not be used as this floor
P070,parameter,AE4BranchModulation.na_scale,transporters.AE4BranchModulation,1.0 WT,symmetric sodium-branch kinetic scale,dimensionless multiplier,"both forward and reverse rates multiplied equally",EXACT_DIMENSION,qualitative mutant encoding,NEW_MODELING_DECISION,preserves reversal but is not a microscopic rate fit
P071,parameter,AE4BranchModulation.k_scale,transporters.AE4BranchModulation,1.0 WT,symmetric potassium-branch kinetic scale,dimensionless multiplier,"both forward and reverse rates multiplied equally",EXACT_DIMENSION,qualitative mutant encoding,NEW_MODELING_DECISION,preserves reversal but is not a microscopic rate fit
P072,parameter,regulation_gain,transporters.evaluate_ae4_qss,1.0 control,active AE4 capacity multiplier,dimensionless multiplier,"active_carrier=carrier_amount*gain",EXACT_DIMENSION,regulatory calibration pending,NEW_MODELING_DECISION,must be learned only from regulatory/WT evidence
P073,parameter,genotype.ae4_expression,model.Genotype,1 WT or 0 null,AE4 expression multiplier,dimensionless multiplier,"AE4 sources*=expression",EXACT_DIMENSION,genotype switch,DERIVED_CONSTRAINT,zero must remove every AE4 source
P074,parameter,genotype.ae2_expression,model.Genotype,1 WT or 0 null,AE2 expression multiplier,dimensionless multiplier,"AE2 capacity*=expression",EXACT_DIMENSION,genotype switch,DERIVED_CONSTRAINT,zero only for AE2 deletion
P075,parameter,genotype.nkcc1_expression,model.Genotype,1.0,NKCC1 expression multiplier,dimensionless multiplier,"capacity*=expression",EXACT_DIMENSION,default genotype assumption,NEW_MODELING_DECISION,no genotype adaptation without evidence
P076,parameter,genotype.nhe1_expression,model.Genotype,1.0,NHE1 expression multiplier,dimensionless multiplier,"capacity*=expression",EXACT_DIMENSION,default genotype assumption,NEW_MODELING_DECISION,no genotype adaptation without evidence
I001,input,time_s,model.ModernFullModel.evaluate and camp_pka R0-R3 API,,independent integration and regulatory coordinate,s,"all RHS parameters use s or s^-1",DIMENSIONALLY_PHYSICAL,seconds declared by construction; physiological rates not calibrated,NEW_MODELING_DECISION,modern model defines seconds directly and has no inherited rhs_scale
I002,input,calcium_uM,model.Stimulus,0.10 constant default,intracellular calcium stimulus,uM,"enters Ca gate with calcium_half_uM",DIMENSIONALLY_CERTIFIED,waveform/dose map uncalibrated,NEW_MODELING_DECISION,must come from WT stimulus evidence
I003,input,beta_input,model.Stimulus and camp_pka API,0 constant default,effective beta-adrenergic/adenylate-cyclase drive,dimensionless normalized fraction,"0<=beta<=1",EXACT_DIMENSION,no measured receptor occupancy cAMP or PKA-activity map,NEW_MODELING_DECISION,must remain distinct from calcium and must not be called a cAMP concentration
I004,input,time_span_s,model.solve_dynamics,,integration interval,s,"passed unchanged to solve_ivp",DIMENSIONALLY_PHYSICAL,physiological timing depends on calibrated rates,DERIVED_CONSTRAINT,do not map legacy code coordinate onto it
I005,input,max_step_s,model.solve_dynamics,infinity default,solver maximum time step,s,,DIMENSIONALLY_PHYSICAL,numerical choice only,NEW_MODELING_DECISION,must pass tolerance sensitivity
