root_id,selected_reference,profile_id,effective_calcium_uM,nkcc1_fully_activated_multiplier,source_defensibility_status,regulatory_member_count,solver_count,all_integrations_success,all_numerical_gates_pass,all_individual_shape_gates_pass,all_common_scale_member_gates_pass,common_scale_feasible_intersection,common_scale_feasible_lower_uL_min_per_pL_s,common_scale_feasible_upper_uL_min_per_pL_s,preferred_member_mean_scale_uL_min_per_pL_s,common_scale_selection_rule,common_scale_multiplier_uL_min_per_pL_s,common_scale_implied_effective_cell_count,implied_cell_count_status,ensemble_min_ratio,ensemble_max_ratio,ensemble_endpoint_cl_range_mM,ensemble_endpoint_ph_range,ensemble_endpoint_volume_range_pL,max_abs_radau_bdf_ratio_difference,g5_joint_group_gate_pass
G2_BALANCED_APICAL_K_BIASED_G10:M00,True,CA015_N1_M1P75,0.15,1.75,SOURCE_CENTERED_WT_PROFILE_REQUIRES_CA_DEFENSIBILITY_REVIEW,20,2,True,True,False,False,False,14173.525739829605,13588.748079175144,13625.744954005097,USE_PREFERRED_MEMBER_MEAN_SCALE_IF_INSIDE_ENSEMBLE_INTERSECTION_ELSE_USE_INTERSECTION_MIDPOINT,13625.744954005097,227095749.23341826,WARNING_NO_PRIMARY_GEOMETRY_RANGE,1.097331571320441,1.1588981249098775,"[37.81183356659004, 40.29607606231233]","[6.860744464314616, 6.87950359859984]","[1.1368513254852242, 1.1678041995377186]",2.2535872279405567e-08,False
G2_BALANCED_APICAL_K_BIASED_G10:M00,True,CA012_N1_M2P0,0.12,2.0,CANDIDATE_ONLY_IF_EFFECTIVE_CA_AND_ASSAY_CONTEXT_CONVERSION_ARE_DEFENSIBLE,20,2,True,True,True,True,True,15439.58555962512,15844.908369559318,15374.231247032576,USE_PREFERRED_MEMBER_MEAN_SCALE_IF_INSIDE_ENSEMBLE_INTERSECTION_ELSE_USE_INTERSECTION_MIDPOINT,15642.24696459222,260704116.07653698,WARNING_NO_PRIMARY_GEOMETRY_RANGE,1.0292367400246198,1.0826881838716025,"[42.750083411759626, 45.98462714431478]","[6.873681744572479, 6.8929722742463655]","[1.195421096193319, 1.2393468374926517]",2.734245918567524e-08,True
G2_BALANCED_APICAL_K_HEAVY_G10:M00,False,CA010_N1_M1P75,0.1,1.75,SOURCE_CENTERED_WT_PROFILE_REQUIRES_CA_DEFENSIBILITY_REVIEW,20,2,True,True,True,True,True,17471.282158871196,18427.887851003405,17733.689030901034,USE_PREFERRED_MEMBER_MEAN_SCALE_IF_INSIDE_ENSEMBLE_INTERSECTION_ELSE_USE_INTERSECTION_MIDPOINT,17733.689030901034,295561483.8483506,WARNING_NO_PRIMARY_GEOMETRY_RANGE,1.0117843742654933,1.0534324871649403,"[43.94029064119276, 47.2053753423155]","[6.885255796950599, 6.899873155639374]","[1.2152226935623678, 1.2585419194768366]",3.890182265209319e-08,True
G2_BALANCED_APICAL_K_HEAVY_G10:M00,False,CA015_N1_M1P75,0.15,1.75,SOURCE_CENTERED_WT_PROFILE_REQUIRES_CA_DEFENSIBILITY_REVIEW,20,2,True,True,False,False,False,14216.847767744772,13646.20559437691,13688.219716692232,USE_PREFERRED_MEMBER_MEAN_SCALE_IF_INSIDE_ENSEMBLE_INTERSECTION_ELSE_USE_INTERSECTION_MIDPOINT,13688.219716692232,228136995.27820387,WARNING_NO_PRIMARY_GEOMETRY_RANGE,1.0986460469852521,1.1570445000598562,"[38.03156298081836, 40.39233440354425]","[6.871568033605517, 6.885054770285683]","[1.1451235590748265, 1.1729504533422637]",2.0231200048570486e-08,False
G2_BALANCED_APICAL_K_HEAVY_G10:M00,False,CA012_N1_M2P0,0.12,2.0,CANDIDATE_ONLY_IF_EFFECTIVE_CA_AND_ASSAY_CONTEXT_CONVERSION_ARE_DEFENSIBLE,20,2,True,True,True,True,True,15491.873554610089,15905.252281031919,15434.148736880132,USE_PREFERRED_MEMBER_MEAN_SCALE_IF_INSIDE_ENSEMBLE_INTERSECTION_ELSE_USE_INTERSECTION_MIDPOINT,15698.562917821004,261642715.2970167,WARNING_NO_PRIMARY_GEOMETRY_RANGE,1.0311388671615656,1.082233248131722,"[42.9315442110997, 46.01701964143955]","[6.883107649139808, 6.897282135947561]","[1.2027654705368873, 1.2427215225870614]",2.4463781889139113e-08,True
G2_BALANCED_APICAL_MODERATE_NA_G10:M00,False,CA010_N1_M1P75,0.1,1.75,SOURCE_CENTERED_WT_PROFILE_REQUIRES_CA_DEFENSIBILITY_REVIEW,20,2,True,True,True,True,True,17262.28367605223,18305.925227368705,17607.358920999635,USE_PREFERRED_MEMBER_MEAN_SCALE_IF_INSIDE_ENSEMBLE_INTERSECTION_ELSE_USE_INTERSECTION_MIDPOINT,17607.358920999635,293455982.0166606,WARNING_NO_PRIMARY_GEOMETRY_RANGE,1.0094429118451724,1.047765406958923,"[43.687699142582105, 47.25076840751655]","[6.870092011532334, 6.894380736743566]","[1.2009141810741304, 1.253722593350763]",3.693898253942507e-08,True
G2_BALANCED_APICAL_MODERATE_NA_G10:M00,False,CA015_N1_M1P75,0.15,1.75,SOURCE_CENTERED_WT_PROFILE_REQUIRES_CA_DEFENSIBILITY_REVIEW,20,2,True,True,False,False,False,14039.777803530069,13496.391387163623,13522.757452460095,USE_PREFERRED_MEMBER_MEAN_SCALE_IF_INSIDE_ENSEMBLE_INTERSECTION_ELSE_USE_INTERSECTION_MIDPOINT,13522.757452460095,225379290.8743349,WARNING_NO_PRIMARY_GEOMETRY_RANGE,1.0934940953158763,1.1558462308577007,"[37.5536976536378, 40.20440311314598]","[6.851251898355385, 6.8753698323497865]","[1.1254973326297102, 1.1609251398973102]",2.648491759238425e-08,False
G2_BALANCED_APICAL_MODERATE_NA_G10:M00,False,CA012_N1_M2P0,0.12,2.0,CANDIDATE_ONLY_IF_EFFECTIVE_CA_AND_ASSAY_CONTEXT_CONVERSION_ARE_DEFENSIBLE,20,2,True,True,True,True,True,15296.642451027321,15758.490539334478,15278.14136355259,USE_PREFERRED_MEMBER_MEAN_SCALE_IF_INSIDE_ENSEMBLE_INTERSECTION_ELSE_USE_INTERSECTION_MIDPOINT,15527.5664951809,258792774.91968164,WARNING_NO_PRIMARY_GEOMETRY_RANGE,1.0249682496216286,1.0785467902275463,"[42.59560953759464, 46.01003336609062]","[6.866194314597292, 6.890253936246087]","[1.1864158110739151, 1.2357992015831223]",3.097068423940641e-08,True
G2_LOW_APICAL_K_BIASED_G10:M00,False,CA010_N1_M1P75,0.1,1.75,SOURCE_CENTERED_WT_PROFILE_REQUIRES_CA_DEFENSIBILITY_REVIEW,20,2,True,True,True,True,True,19998.07518592556,20645.1449464953,19937.97067261649,USE_PREFERRED_MEMBER_MEAN_SCALE_IF_INSIDE_ENSEMBLE_INTERSECTION_ELSE_USE_INTERSECTION_MIDPOINT,20321.61006621043,338693501.10350716,WARNING_NO_PRIMARY_GEOMETRY_RANGE,1.0201452761004701,1.0762861485111224,"[44.05759542295326, 47.43817543637994]","[6.877092736419486, 6.89656814013899]","[1.2122175910137931, 1.2593439700655824]",7.474080976344055e-08,True
G2_LOW_APICAL_K_BIASED_G10:M00,False,CA015_N1_M1P75,0.15,1.75,SOURCE_CENTERED_WT_PROFILE_REQUIRES_CA_DEFENSIBILITY_REVIEW,20,2,True,True,False,False,False,16219.098923895033,15131.000460095249,15310.985620579931,USE_PREFERRED_MEMBER_MEAN_SCALE_IF_INSIDE_ENSEMBLE_INTERSECTION_ELSE_USE_INTERSECTION_MIDPOINT,15310.985620579931,255183093.67633218,WARNING_NO_PRIMARY_GEOMETRY_RANGE,1.1121580619054077,1.186932898653572,"[38.5499834574654, 41.00507544286223]","[6.862669336982542, 6.88092797064818]","[1.1455232901529206, 1.1763852302532511]",1.1206967820420743e-07,False
G2_LOW_APICAL_K_BIASED_G10:M00,False,CA012_N1_M2P0,0.12,2.0,CANDIDATE_ONLY_IF_EFFECTIVE_CA_AND_ASSAY_CONTEXT_CONVERSION_ARE_DEFENSIBLE,20,2,True,True,True,True,True,17699.715986516334,17732.380482067398,17307.30672323107,USE_PREFERRED_MEMBER_MEAN_SCALE_IF_INSIDE_ENSEMBLE_INTERSECTION_ELSE_USE_INTERSECTION_MIDPOINT,17716.048234291866,295267470.5715311,WARNING_NO_PRIMARY_GEOMETRY_RANGE,1.042822646151629,1.1076663598897891,"[43.133234594774095, 46.338679240917955]","[6.87457548418049, 6.893503160839342]","[1.2004553334920571, 1.24414789209147]",9.08169557334304e-08,True
G2_LOW_APICAL_K_HEAVY_G10:M00,False,CA010_N1_M1P75,0.1,1.75,SOURCE_CENTERED_WT_PROFILE_REQUIRES_CA_DEFENSIBILITY_REVIEW,20,2,True,True,True,True,True,20076.03549720549,20731.21940720185,20025.326934061475,USE_PREFERRED_MEMBER_MEAN_SCALE_IF_INSIDE_ENSEMBLE_INTERSECTION_ELSE_USE_INTERSECTION_MIDPOINT,20403.62745220367,340060457.5367278,WARNING_NO_PRIMARY_GEOMETRY_RANGE,1.0219900436862,1.0757964114485723,"[44.22027183393503, 47.450826788611124]","[6.885944428831438, 6.900230499856506]","[1.2190086285775876, 1.2619275551089397]",7.427589410191615e-08,True
G2_LOW_APICAL_K_HEAVY_G10:M00,False,CA015_N1_M1P75,0.15,1.75,SOURCE_CENTERED_WT_PROFILE_REQUIRES_CA_DEFENSIBILITY_REVIEW,20,2,True,True,False,False,False,16270.88942913171,15203.70038199355,15400.468059486137,USE_PREFERRED_MEMBER_MEAN_SCALE_IF_INSIDE_ENSEMBLE_INTERSECTION_ELSE_USE_INTERSECTION_MIDPOINT,15400.468059486137,256674467.65810227,WARNING_NO_PRIMARY_GEOMETRY_RANGE,1.1130075883513861,1.1840758813028038,"[38.77805227904422, 41.106574235880714]","[6.873484407091517, 6.886503233576295]","[1.1538459441124906, 1.1815070364990459]",1.1062068683287407e-07,False
G2_LOW_APICAL_K_HEAVY_G10:M00,False,CA012_N1_M2P0,0.12,2.0,CANDIDATE_ONLY_IF_EFFECTIVE_CA_AND_ASSAY_CONTEXT_CONVERSION_ARE_DEFENSIBLE,20,2,True,True,True,True,True,17763.537560515884,17811.74439282563,17397.65057740259,USE_PREFERRED_MEMBER_MEAN_SCALE_IF_INSIDE_ENSEMBLE_INTERSECTION_ELSE_USE_INTERSECTION_MIDPOINT,17787.64097667076,296460682.9445126,WARNING_NO_PRIMARY_GEOMETRY_RANGE,1.044247056484105,1.1059970081633799,"[43.326750865852325, 46.37754910931002]","[6.884092275637632, 6.897887134991393]","[1.207936498902793, 1.247567661084913]",9.030875225413126e-08,True
G2_LOW_APICAL_MODERATE_NA_G10:M00,False,CA010_N1_M1P75,0.1,1.75,SOURCE_CENTERED_WT_PROFILE_REQUIRES_CA_DEFENSIBILITY_REVIEW,20,2,True,True,True,True,True,19792.806289242486,20511.72244034112,19797.10528253114,USE_PREFERRED_MEMBER_MEAN_SCALE_IF_INSIDE_ENSEMBLE_INTERSECTION_ELSE_USE_INTERSECTION_MIDPOINT,19797.10528253114,329951754.70885235,WARNING_NO_PRIMARY_GEOMETRY_RANGE,1.016524598949522,1.0721677349140974,"[43.93111163839873, 47.482836400754245]","[6.8699804952559, 6.894337222072409]","[1.2040529334988745, 1.2568904890698713]",7.564010440219704e-08,True
G2_LOW_APICAL_MODERATE_NA_G10:M00,False,CA015_N1_M1P75,0.15,1.75,SOURCE_CENTERED_WT_PROFILE_REQUIRES_CA_DEFENSIBILITY_REVIEW,20,2,True,True,False,False,False,16041.652840626411,15016.44444251383,15157.220160573064,USE_PREFERRED_MEMBER_MEAN_SCALE_IF_INSIDE_ENSEMBLE_INTERSECTION_ELSE_USE_INTERSECTION_MIDPOINT,15157.220160573064,252620336.00955108,WARNING_NO_PRIMARY_GEOMETRY_RANGE,1.1083750874178135,1.1843048144646624,"[38.273830214866564, 40.90564646709993]","[6.8526727416346835, 6.876491637308759]","[1.1339030912377226, 1.1694789199294087]",1.1281816125752187e-07,False
G2_LOW_APICAL_MODERATE_NA_G10:M00,False,CA012_N1_M2P0,0.12,2.0,CANDIDATE_ONLY_IF_EFFECTIVE_CA_AND_ASSAY_CONTEXT_CONVERSION_ARE_DEFENSIBLE,20,2,True,True,True,True,True,17508.07202375895,17606.684756233117,17154.542287271743,USE_PREFERRED_MEMBER_MEAN_SCALE_IF_INSIDE_ENSEMBLE_INTERSECTION_ELSE_USE_INTERSECTION_MIDPOINT,17557.378389996033,292622973.1666005,WARNING_NO_PRIMARY_GEOMETRY_RANGE,1.0387328641094349,1.1043948911713073,"[42.9563923899049, 46.35690743024136]","[6.866489980846221, 6.890483347822176]","[1.1910449052824712, 1.2404987718593634]",9.132748934881363e-08,True
