check_id,stage,challenge,method,domain_or_tolerance,result,disposition,strict_secretion_read,notes
L01,localization,invented KO state values,"exact electroneutral target manifold","released Cl=36.5+/-1.6 mM and pH=6.89+/-0.02 only","two observations leave five free coordinates Na_l K_l height Na_i K_i; no KO volume target exists","PASS",False,"Stage-B source is a family rather than one vector"
L02,localization,hidden uniqueness of missing direction,"finite-difference family Jacobian and one-SEM corners","five free target coordinates","required-source family has numerical rank 5 at mean and all four one-SEM corners","PASS",False,"a single localized module does not follow from Cl/pH alone"
L03,localization,apical/basal label overclaim,"exact rational signature rank","expanded chemical/lumen/current coordinates","apical and basal pump/K signatures are identical in cell-source projection and differ only after lumen/current rows are added","PASS",False,"localization fractions cannot be learned from released cell ions"
L04,localization,local 2-D fit promoted as nonlinear repair,"implicit Jacobian and finite log-step audit","pump/K/NHE/NKCC/AE2 responses at common null root","exact local pairs require log changes about 1.7 to 18.3 and change across target slices","FAIL_AS_RECONSTRUCTION",False,"rank/span artifacts only; no two-parameter chassis reconstruction established"
C01,chassis,nonnested split-cation equations,"direct raw-RHS and diagnostic comparison","apical pump fraction=0 and apical K fraction=0; WT and AE4-null states","split chassis reproduces fixed chassis exactly to floating-point equality","PASS",False,"nonzero fractions conserve total declared capacity/conductance"
C02,chassis,unsupported localization fractions,"primary-source audit and scan metadata","mouse submandibular model; parotid-informed 0..1 sensitivities","no gland-matched quantitative pump or K fraction exists; 20-40 percent values are assumptions","CONDITIONAL",False,"fractions cannot be optimized against strict secretion"
C03,chassis,acid-base module identified by Cl/pH,"exact reaction-signature rank","NHE1 hydration buffer reactions projected to released Cl/H rows","full reaction rank 3 but released direct rank 1; flux nullity 2 before unknown pools/boundaries","FAIL_AS_IDENTIFIED",False,"matched carbon/buffer flux measurement is required"
H01,reproduction,shared implementation error,"SVD versus matrix-tree CTMC; independent explicit chassis equations and scipy.root","stationarity residual about 1e-14; root comparison","independent route reproduces CTMC closure and bounded null root; also confirms remote asymptotic branch","PASS",False,"independent module does not import production cycle/solver implementation"
G04,leakage,final-round ledger exposure,"rectangular CSV parse and exhaustive exposure-column audit","33 Round-5 rows; 21 dynamic-status rows; all registry/score/rejection rows","every Round-5 row has secretion_target_read=False; every dynamic row has strict_target_used_in_fit=false and strict_target_joined_to_prediction=false; all ten candidates are blocked with blank ratios","PASS",False,"strict references are kept as unjoined reference rows after the numerical diagnostics"
C04,chassis,alternate split-topology roots,"seed-1307 12-start hybrid root plus bounded least_squares fallback","M0; pump20; K20; coupled20; coupled40; pump40/K20; pump20/K40 in declared split-state box","one bounded root recovered for each topology; every saved state reproduced; max raw residual 1.56e-12; no alternate bounded root found","PASS_FINITE_DOMAIN",False,"remote branches outside the declared domain are not excluded"
C05,chassis,split topology promoted as ionic repair,"re-solved KO roots over predeclared 0/20/40/39.8 percent sensitivities","eight retained roots; fractions never optimized","best row pump40/K20 has normalized Cl/pH distance 24.8677 versus 25.6016 for M0; only 2.87 percent improvement","FAIL_AS_REPAIR",False,"M1 is a real topology omission but neither sufficient nor calibrated"
C06,chassis,WT optimizer and start sensitivity,"25 starts per topology: seven log-capacity seeds plus 18 random reduced-state/capacity starts; tight bounded least_squares","coupled 20/20; 40/40; 40/20; 20/40; height 2..200 um; log capacity -12..16","zero valid WT rows; best raw closure 2.46e-5 to 4.79e-5; height 199.99998..199.999997 um; pH +8.72..+8.76 SEM","PASS_FINITE_DOMAIN",False,"saved five-start objective is not unique: coupled40 raw error improves 5.40e-5 to 3.37e-5 without approaching admissibility"
C07,chassis,pure-path continuation failure overclaim,"inspect every retained failure and mixed-path roots","pump-only fails at fP=0.295; K-only fails at fK=0.290; mixed 40 percent paths","failure rows explicitly say no remote-branch exclusion; mixed paths close but remain far from ionic targets","PASS",False,"solver failure is not used as evidence against the topology"
D01,dynamics,invalid WT denominator promoted,"gate-first API and machine-ledger audit","five Stage-A plus five Round-5 validation candidates","all ten are blocked_before_dynamics; endpoint/integral ratios and early/late scores remain blank or N/A","PASS",False,"KO-only integration is labelled diagnostic_only_invalid_denominator"
D02,dynamics,solver/tolerance dependence of saved diagnostic,"Radau versus BDF at rtol 1e-8 atol 1e-10 on common 452-point code grid","candidate-independent KO-only historical Ca step","endpoint flow differs 8.3e-15; code-time integral differs 3.6e-11; max shared-grid flow difference 1.28e-9; states remain positive","PASS_NUMERICAL_ONLY",False,"does not validate a physical secretion trajectory or timing mechanism"
D03,dynamics,unsupported time delay or absolute scale,"protocol/source inspection and seven-state dimension audit","historical t_code step at 100; rhs_scale 10000; immediate PKA input","no minute conversion; no absolute-flow calibration; no carrier or recruitment memory state; early/late phenotype is not scored","PASS_AS_BLOCKER",False,"a fitted delay or relabelled code coordinate would be target leakage"
P01,provenance,unsupported pump/K and acid-base parameters,"primary-source boundary and parameter_provenance audit","mouse submandibular phenotype versus parotid topology evidence","20-40 percent pump/K fractions remain NEW sensitivities; carbon and buffer rates/pools are STRUCTURAL ONLY; unchanged NKCC1/NHE assays prohibit arbitrary KO rescue gains","PASS",False,"qualitative localization is not quantitative gland-matched calibration"
I01,irreducibility,missing experiment fails to observe free source coordinates,"target-manifold coordinate audit and exact signature ranks","free coordinates Na_l K_l height Na_i K_i; split directions rank 2 only in lumen/current extension","final experiment now includes intracellular Na/K/Cl/pH/volume plus luminal or effluent Na/K and membrane-sided pump/K currents; total inorganic carbon/NHE-buffer flux is required for full branch discrimination","PASS",False,"without carbon readout the cation/current experiment is correctly called a first branch test"
I02,irreducibility,unresolved label used as solver-failure euphemism,"exact KO-field identity; rank-five source family; exact split and acid-base ranks; independent numerical route","physiological root domain and released Cl/pH target manifold","ambiguity persists after multistart and independent solvers: QSS AE4 graphs cannot move the KO field; Cl/pH leave five state directions; M1 fractions are invisible in cell projection; acid-base flux nullity is 2","PASS",False,"proof identifies missing observables even though no valid model exists from which differing held-out predictions could be licensed"
R01,claims,historical article or AE4 biology discredited,"phrase search plus claim-class audit","all Task-13 analyses and ledgers","exclusions are scoped to implemented QSS graphs fixed/newly tested chassis domains and evidence gates; no result says AE4 is dispensable or the historical paper was wrong","PASS",False,"carbonate and future dynamic-carrier mechanisms remain open biological alternatives"
