name,value,units,provenance,note,group,active,classification,source_path,justification,uncertainty,default_value,differs_from_default
bath.na_mM,145.0,mM,NEW_MODELING_DECISION,representative open-bath value; protocol ledger must replace it,whole_cell,True,effective_assumption,src/modern_full_model/parameters.py,representative open-bath value; protocol ledger must replace it,No justified numerical uncertainty interval established by this audit.,145.0,False
bath.k_mM,5.0,mM,NEW_MODELING_DECISION,representative open-bath value; protocol ledger must replace it,whole_cell,True,effective_assumption,src/modern_full_model/parameters.py,representative open-bath value; protocol ledger must replace it,No justified numerical uncertainty interval established by this audit.,5.0,False
bath.cl_mM,126.16159280366088,mM,DERIVED_CONSTRAINT,chosen from bath cations and TA for exact reference electroneutrality,whole_cell,True,reference_constraint_derived,src/modern_full_model/parameters.py,"Bath electroneutrality using the adopted bath sodium, potassium and carbonate speciation.",No justified numerical uncertainty interval established by this audit.,126.16159280366088,False
bath.tic_mM,25.0,mM,NEW_MODELING_DECISION,open-bath total inorganic carbon starting value,whole_cell,True,effective_assumption,src/modern_full_model/parameters.py,open-bath total inorganic carbon starting value,No justified numerical uncertainty interval established by this audit.,25.0,False
bath.ph,7.4,dimensionless (p-scale),NEW_MODELING_DECISION,representative bicarbonate-buffered bath value,whole_cell,True,effective_assumption,src/modern_full_model/parameters.py,representative bicarbonate-buffered bath value,No justified numerical uncertainty interval established by this audit.,7.4,False
bath.buffer_total_mM,0.0,mM sites,NEW_MODELING_DECISION,bath non-carbonate buffer omitted from exchanged species,whole_cell,True,effective_assumption,src/modern_full_model/parameters.py,"bath non-carbonate buffer omitted from exchanged species An exact zero is an explicit structural omission, not a small positive fitted value.",No justified numerical uncertainty interval established by this audit.,0.0,False
bath.untracked_osmolyte_mM,0.0,mOsm L^-1,NEW_MODELING_DECISION,explicit correction only if protocol osmolarity requires it,whole_cell,True,effective_assumption,src/modern_full_model/parameters.py,"explicit correction only if protocol osmolarity requires it An exact zero is an explicit structural omission, not a small positive fitted value.",No justified numerical uncertainty interval established by this audit.,0.0,False
geometry.cell_buffer_total_fmol,30.0,fmol sites,NEW_MODELING_DECISION,effective finite buffer pool; must be WT-calibrated independently,whole_cell,True,effective_assumption,src/modern_full_model/parameters.py,effective finite buffer pool; must be WT-calibrated independently,No justified numerical uncertainty interval established by this audit.,30.0,False
geometry.lumen_buffer_total_fmol,1e-09,fmol sites,NEW_MODELING_DECISION,positive numerical limit approximating no luminal fixed buffer,whole_cell,True,numerical_regularisation,src/modern_full_model/parameters.py,"Positive approximation to no fixed luminal buffer. Its size is numerical, not measured.",No justified numerical uncertainty interval established by this audit.,1e-09,False
geometry.fixed_cell_anion_equivalents_fmol,78.06176220594485,fmol charge equivalents,DERIVED_CONSTRAINT,"derived from reference WT cations, chloride, and total alkalinity",whole_cell,True,reference_constraint_derived,src/modern_full_model/parameters.py,"Derived from the reference initial cations, chloride and total alkalinity. Conditional on that reference tuple, not independently measured.",No justified numerical uncertainty interval established by this audit.,78.06176220594485,False
geometry.cell_impermeant_osmoles_fmol,124.69936937124379,fmol osmoles,NEW_MODELING_DECISION,"other impermeant osmotic particles; explicitly excludes the finite buffer pool, which is added separately",whole_cell,True,inherited_effective_setting,reference/native_wt_contract.json,"Active R09 background contains 124.69936937124379 fmol, not the dataclass default. An effective osmotic closure setting, not a directly measured molecular pool.",No justified numerical uncertainty interval established by this audit.,56.16159280366088,True
homeostasis.nkcc1_capacity_fmol_s,0.32,fmol s^-1,NEW_MODELING_DECISION,placeholder capacity; no AE4-null secretion calibration,whole_cell,False,inactive_legacy,src/modern_full_model/parameters.py,Not used by selected Palk NKCC1 or Cha NHE1 flux. Retained for older models and payload compatibility.,No justified numerical uncertainty interval established by this audit.,0.08,True
homeostasis.nhe1_capacity_fmol_s,0.007440980590414482,fmol s^-1,HISTORICAL_IMPLEMENTATION,capacity used only by the selectable historical tanh comparator,whole_cell,False,inactive_legacy,src/modern_full_model/parameters.py,Not used by selected Palk NKCC1 or Cha NHE1 flux. Retained for older models and payload compatibility.,No justified numerical uncertainty interval established by this audit.,0.02,True
homeostasis.nhe1_model,cha_2009_eight_state_mod2,model identifier,HISTORICAL_IMPLEMENTATION,legacy default preserves clean seed payloads; Task 30 explicitly selects vera_siguenza_2018_eq26,whole_cell,True,law_selection,src/modern_full_model/parameters.py,Production explicitly selects Cha 2009 eight-state Mod2; the default field note refers to an older selection.,No justified numerical uncertainty interval established by this audit.,legacy_tanh,True
homeostasis.nhe1_published_g_fmol_s,0.0305,fmol s^-1,PUBLISHED_MODEL,"Vera-Siguenza et al. (2018), Eq. 26, model-derived G_NHE1",whole_cell,False,inactive_legacy,src/modern_full_model/parameters.py,Not used by selected Palk NKCC1 or Cha NHE1 flux. Retained for older models and payload compatibility.,No justified numerical uncertainty interval established by this audit.,0.0305,False
homeostasis.nhe1_published_k_h_mM,0.00045,mM,PUBLISHED_MODEL,"Vera-Siguenza et al. (2018), Eq. 26 proton saturation constant",whole_cell,False,inactive_legacy,src/modern_full_model/parameters.py,Not used by selected Palk NKCC1 or Cha NHE1 flux. Retained for older models and payload compatibility.,No justified numerical uncertainty interval established by this audit.,0.00045,False
homeostasis.nhe1_published_k_na_mM,15.0,mM,PUBLISHED_MODEL,"Vera-Siguenza et al. (2018), Eq. 26 sodium saturation constant",whole_cell,False,inactive_legacy,src/modern_full_model/parameters.py,Not used by selected Palk NKCC1 or Cha NHE1 flux. Retained for older models and payload compatibility.,No justified numerical uncertainty interval established by this audit.,15.0,False
homeostasis.nhe1_cha_carrier_amount_fmol,2.339370005697548e-05,fmol of NHE1 carriers,NEW_MODELING_DECISION,Cha 2009 amount conversion N/Avogadro; no cardiac density imported. None until the single WT R09 salivary amount is calibrated.,whole_cell,True,WT_constraint_derived,src/modern_full_model/task31_nhe1_repair.py,One salivary carrier amount calibrated against a resting pH target 6.91 on the selected R09 background. It is not the cardiac carrier count or a direct salivary abundance measurement.,No justified numerical uncertainty interval established by this audit.,,True
homeostasis.ae2_capacity_fmol_s,0.005,fmol s^-1,NEW_MODELING_DECISION,small placeholder capacity; AE2-null is a validation gate,whole_cell,True,effective_assumption,src/modern_full_model/parameters.py,small placeholder capacity; AE2-null is a validation gate,No justified numerical uncertainty interval established by this audit.,0.005,False
homeostasis.thermodynamic_saturation_log_width,2.0,dimensionless log-affinity,NEW_MODELING_DECISION,sets tanh approach to capacity without moving reversal,whole_cell,True,effective_assumption,src/modern_full_model/parameters.py,sets tanh approach to capacity without moving reversal,No justified numerical uncertainty interval established by this audit.,2.0,False
homeostasis.co2_basolateral_permeability_fmol_s_mM,0.02,fmol s^-1 mM^-1,NEW_MODELING_DECISION,linear neutral CO2 exchange coefficient,whole_cell,True,effective_assumption,src/modern_full_model/parameters.py,linear neutral CO2 exchange coefficient,No justified numerical uncertainty interval established by this audit.,0.02,False
homeostasis.co2_apical_permeability_fmol_s_mM,0.01,fmol s^-1 mM^-1,NEW_MODELING_DECISION,linear neutral CO2 exchange coefficient,whole_cell,True,effective_assumption,src/modern_full_model/parameters.py,linear neutral CO2 exchange coefficient,No justified numerical uncertainty interval established by this audit.,0.01,False
membranes.nak_capacity_fmol_s,0.08,fmol cycles s^-1,NEW_MODELING_DECISION,total pump capacity shared between membranes,whole_cell,True,effective_assumption,src/modern_full_model/parameters.py,total pump capacity shared between membranes,No justified numerical uncertainty interval established by this audit.,0.08,False
membranes.nak_na_half_mM,10.0,mM,PUBLISHED_MODEL,effective intracellular Na half-saturation starting value,whole_cell,True,inherited_model_setting,src/modern_full_model/parameters.py,effective intracellular Na half-saturation starting value Source metadata identifies a model lineage; independent experimental measurement is not established here.,No justified numerical uncertainty interval established by this audit.,10.0,False
membranes.nak_k_half_mM,1.5,mM,PUBLISHED_MODEL,effective extracellular K half-saturation starting value,whole_cell,True,inherited_model_setting,src/modern_full_model/parameters.py,effective extracellular K half-saturation starting value Source metadata identifies a model lineage; independent experimental measurement is not established here.,No justified numerical uncertainty interval established by this audit.,1.5,False
membranes.apical_pump_fraction,0.075075,fraction,NEW_MODELING_DECISION,apical localization is supported; quantitative fraction is not measured,whole_cell,True,effective_assumption,src/modern_full_model/parameters.py,apical localization is supported; quantitative fraction is not measured,No justified numerical uncertainty interval established by this audit.,0.1,True
membranes.apical_k_fraction,0.3,fraction,NEW_MODELING_DECISION,apical K current is supported; quantitative fraction is not measured,whole_cell,True,effective_assumption,src/modern_full_model/parameters.py,apical K current is supported; quantitative fraction is not measured,No justified numerical uncertainty interval established by this audit.,0.1,True
membranes.g_k_total_S,1.4e-08,S,NEW_MODELING_DECISION,total Ca-activated K conductance shared between membranes,whole_cell,True,effective_assumption,src/modern_full_model/parameters.py,total Ca-activated K conductance shared between membranes,No justified numerical uncertainty interval established by this audit.,4e-10,True
membranes.g_cl_apical_S,3.14e-08,S,NEW_MODELING_DECISION,apical Ca-activated Cl conductance,whole_cell,True,effective_assumption,src/modern_full_model/parameters.py,apical Ca-activated Cl conductance,No justified numerical uncertainty interval established by this audit.,6e-10,True
membranes.calcium_half_uM,0.26,uM,NEW_MODELING_DECISION,"common test gating scale, not a frozen WT estimate",whole_cell,True,effective_assumption,src/modern_full_model/parameters.py,"common test gating scale, not a frozen WT estimate",No justified numerical uncertainty interval established by this audit.,0.3,True
membranes.calcium_hill,1.46,dimensionless,NEW_MODELING_DECISION,effective Ca gating exponent,whole_cell,True,effective_assumption,src/modern_full_model/parameters.py,effective Ca gating exponent,No justified numerical uncertainty interval established by this audit.,2.0,True
membranes.g_para_na_S,3e-10,S,PUBLISHED_MODEL,historical-lineage paracellular Na pathway; value not frozen,whole_cell,True,inherited_model_setting,src/modern_full_model/parameters.py,historical-lineage paracellular Na pathway; value not frozen Source metadata identifies a model lineage; independent experimental measurement is not established here.,No justified numerical uncertainty interval established by this audit.,3e-10,False
membranes.g_para_k_S,5e-11,S,PUBLISHED_MODEL,historical-lineage paracellular K pathway; value not frozen,whole_cell,True,inherited_model_setting,src/modern_full_model/parameters.py,historical-lineage paracellular K pathway; value not frozen Source metadata identifies a model lineage; independent experimental measurement is not established here.,No justified numerical uncertainty interval established by this audit.,5e-11,False
membranes.g_para_cl_S,2.5e-10,S,NEW_MODELING_DECISION,charge-complete paracellular Cl pathway,whole_cell,True,effective_assumption,src/modern_full_model/parameters.py,charge-complete paracellular Cl pathway,No justified numerical uncertainty interval established by this audit.,2.5e-10,False
membranes.g_para_hco3_S,5e-11,S,NEW_MODELING_DECISION,charge-complete paracellular bicarbonate pathway,whole_cell,True,effective_assumption,src/modern_full_model/parameters.py,charge-complete paracellular bicarbonate pathway,No justified numerical uncertainty interval established by this audit.,5e-11,False
membranes.g_apical_background_S,0.0,S,NEW_MODELING_DECISION,zero preserves the exact no-apical-K nesting limit,whole_cell,True,effective_assumption,src/modern_full_model/parameters.py,"zero preserves the exact no-apical-K nesting limit An exact zero is an explicit structural omission, not a small positive fitted value.",No justified numerical uncertainty interval established by this audit.,0.0,False
membranes.g_basolateral_background_S,0.0,S,NEW_MODELING_DECISION,small K-selective regularizer; set zero only if closure remains nonsingular,whole_cell,True,effective_assumption,src/modern_full_model/parameters.py,"small K-selective regularizer; set zero only if closure remains nonsingular An exact zero is an explicit structural omission, not a small positive fitted value.",No justified numerical uncertainty interval established by this audit.,5e-12,True
water.apical_hydraulic_pL_s_mOsm,0.00432,pL s^-1 (mOsm L^-1)^-1,PUBLISHED_MODEL,Palk 2010/2018 Pa=4.32e-12 L^2 mol^-1 s^-1 converted by 1 mM=1e-3 mol/L and 1 L=1e12 pL,whole_cell,True,published_model_conversion,src/modern_full_model/parameters.py,"Palk 2010/2018 Pa=4.32e-12 L^2 mol^-1 s^-1 converted by 1 mM=1e-3 mol/L and 1 L=1e12 pL Inherited model coefficient, not a new direct measurement.",No justified numerical uncertainty interval established by this audit.,0.00432,False
water.basolateral_hydraulic_pL_s_mOsm,0.0515,pL s^-1 (mOsm L^-1)^-1,PUBLISHED_MODEL,Palk 2010/2018 Pb=5.15e-11 L^2 mol^-1 s^-1 converted by 1 mM=1e-3 mol/L and 1 L=1e12 pL,whole_cell,True,published_model_conversion,src/modern_full_model/parameters.py,"Palk 2010/2018 Pb=5.15e-11 L^2 mol^-1 s^-1 converted by 1 mM=1e-3 mol/L and 1 L=1e12 pL Inherited model coefficient, not a new direct measurement.",No justified numerical uncertainty interval established by this audit.,0.0515,False
water.paracellular_hydraulic_pL_s_mOsm,0.00026,pL s^-1 (mOsm L^-1)^-1,PUBLISHED_MODEL,Palk 2010/2018 Pt=2.6e-13 L^2 mol^-1 s^-1 converted by 1 mM=1e-3 mol/L and 1 L=1e12 pL,whole_cell,True,published_model_conversion,src/modern_full_model/parameters.py,"Palk 2010/2018 Pt=2.6e-13 L^2 mol^-1 s^-1 converted by 1 mM=1e-3 mol/L and 1 L=1e12 pL Inherited model coefficient, not a new direct measurement.",No justified numerical uncertainty interval established by this audit.,0.00026,False
water.lumen_dead_volume_pL,0.1,pL,NEW_MODELING_DECISION,non-draining local lumen volume,whole_cell,True,effective_assumption,src/modern_full_model/parameters.py,non-draining local lumen volume,No justified numerical uncertainty interval established by this audit.,0.1,False
water.outflow_rate_s,0.2,s^-1,NEW_MODELING_DECISION,"local compliance/outflow closure, not secretion calibration",whole_cell,True,effective_assumption,src/modern_full_model/parameters.py,"local compliance/outflow closure, not secretion calibration",No justified numerical uncertainty interval established by this audit.,0.2,False
initial.cell_na_mM,15.0,mM,NEW_MODELING_DECISION,positive reference value; replace by source-ledger WT range,whole_cell,False,constructor_seed,src/modern_full_model/parameters.py,"Constructor reference tuple, not the actual production initial state. Task 40 uses the independently frozen WT state; this tuple also defines charge consistency checks.",No justified numerical uncertainty interval established by this audit.,15.0,False
initial.cell_k_mM,140.0,mM,NEW_MODELING_DECISION,positive reference value; replace by source-ledger WT range,whole_cell,False,constructor_seed,src/modern_full_model/parameters.py,"Constructor reference tuple, not the actual production initial state. Task 40 uses the independently frozen WT state; this tuple also defines charge consistency checks.",No justified numerical uncertainty interval established by this audit.,140.0,False
initial.cell_cl_mM,40.0,mM,NEW_MODELING_DECISION,positive reference value; not a calibration claim,whole_cell,False,constructor_seed,src/modern_full_model/parameters.py,"Constructor reference tuple, not the actual production initial state. Task 40 uses the independently frozen WT state; this tuple also defines charge consistency checks.",No justified numerical uncertainty interval established by this audit.,40.0,False
initial.cell_tic_mM,20.0,mM,NEW_MODELING_DECISION,reference TIC pending WT carbon measurement,whole_cell,False,constructor_seed,src/modern_full_model/parameters.py,"Constructor reference tuple, not the actual production initial state. Task 40 uses the independently frozen WT state; this tuple also defines charge consistency checks.",No justified numerical uncertainty interval established by this audit.,20.0,False
initial.cell_ph,7.2,dimensionless (p-scale),NEW_MODELING_DECISION,reference pH pending evidence-ledger gate,whole_cell,False,constructor_seed,src/modern_full_model/parameters.py,"Constructor reference tuple, not the actual production initial state. Task 40 uses the independently frozen WT state; this tuple also defines charge consistency checks.",No justified numerical uncertainty interval established by this audit.,7.2,False
initial.cell_volume_pL,1.0,pL,NEW_MODELING_DECISION,single-cell reference volume pending geometry audit,whole_cell,False,constructor_seed,src/modern_full_model/parameters.py,"Constructor reference tuple, not the actual production initial state. Task 40 uses the independently frozen WT state; this tuple also defines charge consistency checks.",No justified numerical uncertainty interval established by this audit.,1.0,False
initial.lumen_na_mM,145.0,mM,NEW_MODELING_DECISION,open-bath-like positive reference value,whole_cell,False,constructor_seed,src/modern_full_model/parameters.py,"Constructor reference tuple, not the actual production initial state. Task 40 uses the independently frozen WT state; this tuple also defines charge consistency checks.",No justified numerical uncertainty interval established by this audit.,145.0,False
initial.lumen_k_mM,5.0,mM,NEW_MODELING_DECISION,open-bath-like positive reference value,whole_cell,False,constructor_seed,src/modern_full_model/parameters.py,"Constructor reference tuple, not the actual production initial state. Task 40 uses the independently frozen WT state; this tuple also defines charge consistency checks.",No justified numerical uncertainty interval established by this audit.,5.0,False
initial.lumen_cl_mM,126.16159279650834,mM,DERIVED_CONSTRAINT,derived from lumen cations and TA for exact reference electroneutrality,whole_cell,False,constructor_seed,src/modern_full_model/parameters.py,"Constructor reference tuple, not the actual production initial state. Task 40 uses the independently frozen WT state; this tuple also defines charge consistency checks.",No justified numerical uncertainty interval established by this audit.,126.16159279650834,False
initial.lumen_tic_mM,25.0,mM,NEW_MODELING_DECISION,open-bath-like positive reference value,whole_cell,False,constructor_seed,src/modern_full_model/parameters.py,"Constructor reference tuple, not the actual production initial state. Task 40 uses the independently frozen WT state; this tuple also defines charge consistency checks.",No justified numerical uncertainty interval established by this audit.,25.0,False
initial.lumen_ph,7.4,dimensionless (p-scale),NEW_MODELING_DECISION,open-bath-like positive reference value,whole_cell,False,constructor_seed,src/modern_full_model/parameters.py,"Constructor reference tuple, not the actual production initial state. Task 40 uses the independently frozen WT state; this tuple also defines charge consistency checks.",No justified numerical uncertainty interval established by this audit.,7.4,False
initial.lumen_volume_pL,0.1,pL,NEW_MODELING_DECISION,finite local lumen reference volume pending geometry audit,whole_cell,False,constructor_seed,src/modern_full_model/parameters.py,"Constructor reference tuple, not the actual production initial state. Task 40 uses the independently frozen WT state; this tuple also defines charge consistency checks.",No justified numerical uncertainty interval established by this audit.,0.1,False
ae4.carrier_amount_fmol,0.1501264265070657,fmol,audited_active_object,,ae4,True,inherited_effective_setting,reference/native_wt_contract.json; src/modern_full_model/transporters.py,"Shared-carrier model setting. Thermodynamic construction fixes forward/reverse ratios, not this absolute abundance or attempt rate.",No measured uncertainty interval supplied; vary only with stated conditional assumptions.,,
ae4.common_cl_attempt_rate_s,1.0,s^-1,audited_active_object,,ae4,True,inherited_effective_setting,reference/native_wt_contract.json; src/modern_full_model/transporters.py,"Shared-carrier model setting. Thermodynamic construction fixes forward/reverse ratios, not this absolute abundance or attempt rate.",No measured uncertainty interval supplied; vary only with stated conditional assumptions.,,
ae4.na_loaded_attempt_rate_s,0.1,s^-1,audited_active_object,,ae4,True,inherited_effective_setting,reference/native_wt_contract.json; src/modern_full_model/transporters.py,"Shared-carrier model setting. Thermodynamic construction fixes forward/reverse ratios, not this absolute abundance or attempt rate.",No measured uncertainty interval supplied; vary only with stated conditional assumptions.,,
ae4.k_loaded_attempt_rate_s,1.9,s^-1,audited_active_object,,ae4,True,inherited_effective_setting,reference/native_wt_contract.json; src/modern_full_model/transporters.py,"Shared-carrier model setting. Thermodynamic construction fixes forward/reverse ratios, not this absolute abundance or attempt rate.",No measured uncertainty interval supplied; vary only with stated conditional assumptions.,,
ae4.cooperative_gate,,configuration,audited_active_object,,ae4,False,inherited_effective_setting,reference/native_wt_contract.json; src/modern_full_model/transporters.py,"Shared-carrier model setting. Thermodynamic construction fixes forward/reverse ratios, not this absolute abundance or attempt rate.",No measured uncertainty interval supplied; vary only with stated conditional assumptions.,,
nbc.capacity_fmol_s,0.11570913197464398,fmol/s,audited_active_object,,nbc,True,WT_architecture_derived,src/modern_full_model/nbc_minimal.py; analysis/36_minimal_nahco3_alkalinity/design.md,"Derived from an assumed 70/30 positive chloride loading architecture at the Task 31 reference state, a 2.3 NHE1 multiplier and coupled electrical closure. Derived conditional on those assumptions, not measured or identified by knockout data.",No measured uncertainty interval supplied; vary only with stated conditional assumptions.,,
nbc.log_width,2.0,dimensionless,audited_active_object,,nbc,True,effective_assumption,src/modern_full_model/nbc_minimal.py; analysis/36_minimal_nahco3_alkalinity/design.md,Inherited NBC recruitment parameter; not an isoform-specific measurement.,No measured uncertainty interval supplied; vary only with stated conditional assumptions.,,
nbc.resting_calcium_uM,0.058,uM,audited_active_object,,nbc,True,effective_assumption,src/modern_full_model/nbc_minimal.py; analysis/36_minimal_nahco3_alkalinity/design.md,Inherited NBC recruitment parameter; not an isoform-specific measurement.,No measured uncertainty interval supplied; vary only with stated conditional assumptions.,,
nbc.fully_recruited_calcium_uM,0.25,uM,audited_active_object,,nbc,True,effective_assumption,src/modern_full_model/nbc_minimal.py; analysis/36_minimal_nahco3_alkalinity/design.md,Inherited NBC recruitment parameter; not an isoform-specific measurement.,No measured uncertainty interval supplied; vary only with stated conditional assumptions.,,
nbc.nhe1_stimulated_multiplier,2.3,dimensionless,audited_active_object,,nbc,True,effective_assumption,src/modern_full_model/nbc_minimal.py; analysis/36_minimal_nahco3_alkalinity/design.md,Inherited source-fixed 2.3 multiplier. Fixing it before a test prevents retuning but does not make its transfer to this tissue/protocol uncertainty-free.,No measured uncertainty interval supplied; vary only with stated conditional assumptions.,,
nkcc.alpha_eff_fmol_s,0.017334746894096052,fmol/s,audited_active_object,,nkcc,True,WT_constraint_derived,analysis/39_palk_nkcc1_full_validation/validation_common.py,"J_N,rest divided by the published shape at the accepted resting concentrations. The resting flux is itself an inherited model value, not a direct new measurement.",No measured uncertainty interval supplied; vary only with stated conditional assumptions.,,
nkcc.A1,157.5,dimensionless,audited_active_object,,nkcc,True,published_kinetic_coefficient,src/modern_full_model/nkcc1_palk2010.py,"Palk/Benjamin effective two-state law in the fixed bath, with fourth-order concentration factors converted to mM. Do not vary bath composition without revisiting these fixed-bath coefficients.",No measured uncertainty interval supplied; vary only with stated conditional assumptions.,,
nkcc.A2,2.0096e-05,mM^-4,audited_active_object,,nkcc,True,published_kinetic_coefficient,src/modern_full_model/nkcc1_palk2010.py,"Palk/Benjamin effective two-state law in the fixed bath, with fourth-order concentration factors converted to mM. Do not vary bath composition without revisiting these fixed-bath coefficients.",No measured uncertainty interval supplied; vary only with stated conditional assumptions.,,
nkcc.A3,1.0306,dimensionless,audited_active_object,,nkcc,True,published_kinetic_coefficient,src/modern_full_model/nkcc1_palk2010.py,"Palk/Benjamin effective two-state law in the fixed bath, with fourth-order concentration factors converted to mM. Do not vary bath composition without revisiting these fixed-bath coefficients.",No measured uncertainty interval supplied; vary only with stated conditional assumptions.,,
nkcc.A4,1.3852e-06,mM^-4,audited_active_object,,nkcc,True,published_kinetic_coefficient,src/modern_full_model/nkcc1_palk2010.py,"Palk/Benjamin effective two-state law in the fixed bath, with fourth-order concentration factors converted to mM. Do not vary bath composition without revisiting these fixed-bath coefficients.",No measured uncertainty interval supplied; vary only with stated conditional assumptions.,,
cha.k1_plus_per_ms,10.5,ms^-1,audited_active_object,,cha,True,published_kinetic_coefficient,src/modern_full_model/nhe1_cha2009.py; results/31_nhe1_mechanistic_repair/source_table_s1.json,"Printed Cha 2009 Table S1 coefficient, transferred as a kinetic law. The printed fourth reverse rate is retained despite its documented rounding discrepancy from exact microscopic reversibility.",No measured uncertainty interval supplied; vary only with stated conditional assumptions.,,
cha.k1_minus_per_ms,0.201,ms^-1,audited_active_object,,cha,True,published_kinetic_coefficient,src/modern_full_model/nhe1_cha2009.py; results/31_nhe1_mechanistic_repair/source_table_s1.json,"Printed Cha 2009 Table S1 coefficient, transferred as a kinetic law. The printed fourth reverse rate is retained despite its documented rounding discrepancy from exact microscopic reversibility.",No measured uncertainty interval supplied; vary only with stated conditional assumptions.,,
cha.k2_plus_per_ms,15.8,ms^-1,audited_active_object,,cha,True,published_kinetic_coefficient,src/modern_full_model/nhe1_cha2009.py; results/31_nhe1_mechanistic_repair/source_table_s1.json,"Printed Cha 2009 Table S1 coefficient, transferred as a kinetic law. The printed fourth reverse rate is retained despite its documented rounding discrepancy from exact microscopic reversibility.",No measured uncertainty interval supplied; vary only with stated conditional assumptions.,,
cha.k_na_o_mM,195.0,mM,audited_active_object,,cha,True,published_kinetic_coefficient,src/modern_full_model/nhe1_cha2009.py; results/31_nhe1_mechanistic_repair/source_table_s1.json,"Printed Cha 2009 Table S1 coefficient, transferred as a kinetic law. The printed fourth reverse rate is retained despite its documented rounding discrepancy from exact microscopic reversibility.",No measured uncertainty interval supplied; vary only with stated conditional assumptions.,,
cha.k_na_i_mM,16.2,mM,audited_active_object,,cha,True,published_kinetic_coefficient,src/modern_full_model/nhe1_cha2009.py; results/31_nhe1_mechanistic_repair/source_table_s1.json,"Printed Cha 2009 Table S1 coefficient, transferred as a kinetic law. The printed fourth reverse rate is retained despite its documented rounding discrepancy from exact microscopic reversibility.",No measured uncertainty interval supplied; vary only with stated conditional assumptions.,,
cha.k_h_o_mM,0.00162,mM,audited_active_object,,cha,True,published_kinetic_coefficient,src/modern_full_model/nhe1_cha2009.py; results/31_nhe1_mechanistic_repair/source_table_s1.json,"Printed Cha 2009 Table S1 coefficient, transferred as a kinetic law. The printed fourth reverse rate is retained despite its documented rounding discrepancy from exact microscopic reversibility.",No measured uncertainty interval supplied; vary only with stated conditional assumptions.,,
cha.k_h_i_mM,0.000605,mM,audited_active_object,,cha,True,published_kinetic_coefficient,src/modern_full_model/nhe1_cha2009.py; results/31_nhe1_mechanistic_repair/source_table_s1.json,"Printed Cha 2009 Table S1 coefficient, transferred as a kinetic law. The printed fourth reverse rate is retained despite its documented rounding discrepancy from exact microscopic reversibility.",No measured uncertainty interval supplied; vary only with stated conditional assumptions.,,
